Subj_idx,Stimulus,Response,Confidence,RT_decConf,blocki,triali,keypress,coh_level,coherence,isCalibTrial,stairID,accTarget
7,1,2,2,1.1087958812713623,2,71,comma,1,0.03454872559091625,1,2,0.52
7,2,2,1,2.620144844055176,2,72,m,1,0.05696121875732547,1,2,0.52
7,1,2,2,1.193518877029419,2,73,comma,1,0.03877420783172203,1,2,0.52
7,1,1,3,3.341560125350952,2,74,x,5,0.6468814797380693,1,1,0.78
7,1,1,3,2.136847972869873,2,75,x,1,0.0554176500583918,1,2,0.52
7,2,1,2,0.8123228549957275,2,76,c,5,0.23262365791729273,1,2,0.78
7,2,2,2,0.8932290077209473,2,77,comma,1,0.04153085303582424,1,2,0.52
7,2,2,2,0.9877939224243164,2,78,comma,1,0.031123870320481882,1,2,0.52
7,1,1,3,1.2091820240020752,2,79,x,5,0.5923052149081728,1,1,0.78
7,1,2,2,1.695279836654663,2,80,comma,3,0.05342442826418896,1,2,0.65
7,2,2,2,1.2163050174713135,2,81,comma,5,0.3835315728763108,1,2,0.78
7,1,2,2,0.9125440120697021,2,82,comma,5,0.3410061724436397,1,2,0.78
7,2,2,2,0.8262848854064941,2,83,comma,1,0.02332471483045587,1,2,0.52
7,2,2,2,0.8143179416656494,2,84,comma,3,0.07635633158422137,1,2,0.65
7,1,2,2,0.6332809925079346,2,85,comma,1,0.0174799058189131,1,2,0.52
7,2,2,3,0.9688489437103271,2,86,period,5,0.5423334545757448,1,1,0.78
7,1,2,2,0.8980019092559814,2,87,comma,3,0.06453074170697405,1,2,0.65
7,2,2,2,1.3696200847625732,2,88,comma,5,0.4873796729580781,1,2,0.78
7,2,2,2,0.751924991607666,2,89,comma,1,0.02307684560463669,1,2,0.52
7,1,2,2,0.7774579524993896,2,90,comma,3,0.17485142226262362,1,1,0.65
7,2,2,2,0.59010910987854,2,91,comma,1,0.0123917990671729,1,1,0.52
7,1,2,2,1.3262619972229004,2,92,comma,1,0.01832123059648767,1,2,0.52
7,1,2,2,0.7732009887695312,2,93,comma,1,0.009838130050555916,1,1,0.52
7,2,2,3,0.9058449268341064,2,94,period,5,0.49657772470846934,1,1,0.78
7,2,2,3,1.1625359058380127,2,95,period,5,0.4462602980227517,1,2,0.78
7,2,2,3,0.6902980804443359,2,96,period,5,0.40861009320034747,1,2,0.78
7,1,2,2,0.8673171997070312,2,97,comma,1,0.012348546758396212,1,1,0.52
7,1,1,2,1.341728925704956,2,98,c,3,0.23083758671856486,1,1,0.65
7,1,1,2,0.8409199714660645,2,99,c,3,0.2017640591714323,1,1,0.65
7,2,1,2,0.8161251544952393,2,100,c,1,0.022996298232437287,1,2,0.52
7,1,1,2,0.9471399784088135,2,101,c,3,0.08519301983385205,1,2,0.65
7,1,1,3,0.8821721076965332,2,102,x,5,0.4546823261521673,1,1,0.78
7,1,1,1,2.631744861602783,2,103,v,1,0.015499551872226078,1,1,0.52
7,1,1,2,2.287297010421753,2,104,c,1,0.02886431288608852,1,2,0.52
7,2,1,1,1.6660850048065186,2,105,v,1,0.012787951259048844,1,1,0.52
7,1,1,2,1.1119539737701416,2,106,c,3,0.17635228366411995,1,1,0.65
7,2,1,2,1.2563369274139404,2,107,c,3,0.15414106992725332,1,1,0.65
7,1,1,2,0.6148698329925537,2,108,c,1,0.02381458698652185,1,2,0.52
7,2,1,2,0.6362760066986084,2,109,c,3,0.1934735767472755,1,1,0.65
7,1,1,2,0.82784104347229,2,110,c,1,0.015499551872226078,1,1,0.52
7,2,1,2,0.7049081325531006,2,111,c,5,0.37413637064501853,1,2,0.78
7,1,2,1,1.099034070968628,2,112,m,1,0.01964829565064591,1,2,0.52
7,2,1,2,0.721290111541748,2,113,c,3,0.07446313115249673,1,2,0.65
7,2,1,2,0.6544899940490723,2,114,c,1,0.013144138886387043,1,1,0.52
7,1,1,2,0.9212429523468018,2,115,c,3,0.09346404774972829,1,2,0.65
7,2,2,2,0.6530849933624268,2,116,comma,3,0.24284264354107504,1,1,0.65
7,2,2,2,1.5677781105041504,2,117,comma,1,0.015527965341585594,1,1,0.52
7,1,1,2,0.8447659015655518,2,118,c,1,0.02381458698652185,1,2,0.52
7,1,1,2,0.8529770374298096,2,119,c,3,0.21707310559785353,1,1,0.65
7,1,1,2,0.6942999362945557,2,120,c,5,0.4939321384164686,1,2,0.78
7,2,2,3,1.1480660438537598,3,121,period,3,0.0835459983919502,1,2,0.65
7,2,2,2,0.8977060317993164,3,122,comma,3,0.07468041471944531,1,2,0.65
7,2,2,3,1.185338020324707,3,123,period,5,0.41632156947135784,1,1,0.78
7,1,1,2,1.3413610458374023,3,124,c,1,0.013442372497645409,1,1,0.52
7,1,1,2,1.0554661750793457,3,125,c,1,0.01163689990223808,1,1,0.52
7,2,1,2,0.6793348789215088,3,126,c,1,0.010073924030778688,1,1,0.52
7,2,2,2,1.1892869472503662,3,127,comma,5,0.3811972430815111,1,1,0.78
7,2,2,2,1.35322904586792,3,128,comma,1,0.011669856266257835,1,1,0.52
7,2,1,2,0.9905200004577637,3,129,c,1,0.020195567036599225,1,2,0.52
7,2,2,2,0.812999963760376,3,130,comma,5,0.3490362949905766,1,1,0.78
